"X","Date","Temperature","Prec"
0,"2000-01",277.98682,167.77209
1,"2000-02",277.8711,56.80247
2,"2000-03",279.51724,60.141236
3,"2000-04",286.58664,30.772477
4,"2000-05",285.2741,93.63571
5,"2000-06",287.68362,63.067106
6,"2000-07",289.91333,11.3318065
7,"2000-08",289.9497,45.522836
8,"2000-09",287.54666,181.59537
9,"2000-10",285.87695,79.36876
10,"2000-11",279.86032,0.23627253
11,"2000-12",275.93893,300.19853
12,"2001-01",276.53162,162.10253
13,"2001-02",272.2591,105.05264
14,"2001-03",279.82678,177.06132
15,"2001-04",284.74023,8.334458
16,"2001-05",287.17563,18.237493
17,"2001-06",290.5709,30.838495
18,"2001-07",292.8899,4.8052825
19,"2001-08",289.77124,66.97392
20,"2001-09",286.1514,156.27372
21,"2001-10",286.18024,11.703299
22,"2001-11",277.37097,107.67251
23,"2001-12",274.677,71.165174
24,"2002-01",279.56384,60.145572
25,"2002-02",279.95334,74.9836
26,"2002-03",278.5841,6.7136284
27,"2002-04",283.72763,46.602276
28,"2002-05",286.43903,5.5621713
29,"2002-06",287.88135,22.165796
30,"2002-07",293.02148,41.069787
31,"2002-08",291.07077,28.701095
32,"2002-09",283.67468,83.440376
33,"2002-10",281.3766,17.518863
34,"2002-11",280.6923,221.49747
35,"2002-12",277.21057,118.804826
36,"2003-01",273.30994,214.03222
37,"2003-02",274.1031,31.074855
38,"2003-03",281.16293,56.75276
39,"2003-04",285.39777,5.867248
40,"2003-05",288.30838,3.4585757
41,"2003-06",291.36755,91.674614
42,"2003-07",292.70575,31.055817
43,"2003-08",290.87335,87.61326
44,"2003-09",286.66183,186.43198
45,"2003-10",281.1061,157.7336
46,"2003-11",280.46582,94.64043
47,"2003-12",277.25662,222.34472
48,"2004-01",272.29425,41.9393
49,"2004-02",274.63113,175.43719
50,"2004-03",279.29922,29.786843
51,"2004-04",284.21085,70.75381
52,"2004-05",285.49722,1.9879587
53,"2004-06",288.76355,22.713468
54,"2004-07",290.78506,17.953633
55,"2004-08",289.99884,56.22486
56,"2004-09",286.09064,80.22228
57,"2004-10",286.53903,154.14601
58,"2004-11",279.8181,124.5842
59,"2004-12",276.87427,151.33231
60,"2005-01",271.8344,98.99813
61,"2005-02",269.29755,86.81847
62,"2005-03",278.89633,59.103942
63,"2005-04",283.453,6.6064154
64,"2005-05",288.86322,151.79421
65,"2005-06",291.05823,107.7286
66,"2005-07",293.7035,138.68668
67,"2005-08",290.46173,18.12622
68,"2005-09",286.57385,234.59535
69,"2005-10",281.3564,9.521702
70,"2005-11",277.5855,166.46451
71,"2005-12",272.5263,135.4278
72,"2006-01",275.11816,108.60385
73,"2006-02",272.06934,203.38534
74,"2006-03",281.80914,123.43677
75,"2006-04",282.17343,244.2458
76,"2006-05",283.861,157.03667
77,"2006-06",291.6512,173.40071
78,"2006-07",293.48203,57.625144
79,"2006-08",287.8658,160.50598
80,"2006-09",287.65942,8.833675
81,"2006-10",280.88818,41.16331
82,"2006-11",281.26218,11.68009
83,"2006-12",277.3735,167.44637
84,"2007-01",277.2981,32.152024
85,"2007-02",277.84955,172.9432
86,"2007-03",280.0923,126.50574
87,"2007-04",282.64993,49.55212
88,"2007-05",285.4347,31.105894
89,"2007-06",289.2586,85.924396
90,"2007-07",288.71765,48.903992
91,"2007-08",289.71225,98.82327
92,"2007-09",286.62488,41.60449
93,"2007-10",283.60477,219.92273
94,"2007-11",277.299,161.8702
95,"2007-12",275.18683,81.507606
96,"2008-01",277.41608,67.77244
97,"2008-02",278.66754,16.86477
98,"2008-03",280.36136,11.686549
99,"2008-04",283.42862,19.565447
100,"2008-05",288.92804,8.804233
101,"2008-06",291.41602,58.906735
102,"2008-07",292.23517,3.0140122
103,"2008-08",288.80127,6.065119
104,"2008-09",283.96426,44.247863
105,"2008-10",283.06158,128.0274
106,"2008-11",279.22736,204.65918
107,"2008-12",271.57617,9.263742
108,"2009-01",275.1956,63.09474
109,"2009-02",277.14676,51.48839
110,"2009-03",280.42188,45.561086
111,"2009-04",283.44086,81.24991
112,"2009-05",285.7322,57.10345
113,"2009-06",291.02655,8.610982
114,"2009-07",292.20355,18.07596
115,"2009-08",288.92236,11.159882
116,"2009-09",286.35397,40.99709
117,"2009-10",279.17685,17.332259
118,"2009-11",281.84824,92.76168
119,"2009-12",278.8221,191.04761
120,"2010-01",273.37488,243.57546
121,"2010-02",278.2167,15.144256
122,"2010-03",283.37708,150.98328
123,"2010-04",285.1775,1.4962097
124,"2010-05",287.5828,293.55564
125,"2010-06",291.13782,5.8326646
126,"2010-07",290.27307,78.11011
127,"2010-08",287.37503,278.50716
128,"2010-09",283.83575,28.541317
129,"2010-10",281.79782,70.636204
130,"2010-11",275.5496,136.35865
131,"2010-12",272.13782,35.133013
132,"2011-01",272.42142,51.937055
133,"2011-02",274.30496,69.559304
134,"2011-03",280.26138,24.24112
135,"2011-04",283.4806,26.449023
136,"2011-05",289.51788,3.069382
137,"2011-06",291.28854,179.3962
138,"2011-07",290.2709,107.70855
139,"2011-08",289.26132,24.244737
140,"2011-09",287.8889,0.40013387
141,"2011-10",282.75354,48.999435
142,"2011-11",277.9316,14.010264
143,"2011-12",276.31778,117.41232
144,"2012-01",268.85583,54.21034
145,"2012-02",278.29675,109.920235
146,"2012-03",281.0067,63.48287
147,"2012-04",286.83325,10.273508
148,"2012-05",286.23923,16.899548
149,"2012-06",292.9811,71.32773
150,"2012-07",291.57385,25.684258
151,"2012-08",291.4354,240.46375
152,"2012-09",288.80902,85.178675
153,"2012-10",279.0992,45.436405
154,"2012-11",279.75293,230.02554
155,"2012-12",276.8686,21.896867
156,"2013-01",279.1851,148.44061
157,"2013-02",276.3546,19.909146
158,"2013-03",278.4995,261.8947
159,"2013-04",285.50012,15.556374
160,"2013-05",285.6847,246.60636
161,"2013-06",287.44876,69.697184
162,"2013-07",292.32544,42.579635
163,"2013-08",289.45013,30.207164
164,"2013-09",285.14618,298.0305
165,"2013-10",283.68195,17.039974
166,"2013-11",277.13684,152.33173
167,"2013-12",277.13202,66.7865
168,"2014-01",274.4461,246.62667
169,"2014-02",278.35425,107.237815
170,"2014-03",280.14792,0.9939773
171,"2014-04",283.47205,48.15679
172,"2014-05",284.93466,44.09529
173,"2014-06",290.3428,229.72358
174,"2014-07",292.58932,173.55895
175,"2014-08",290.36475,68.732195
176,"2014-09",286.92957,29.599854
177,"2014-10",281.6886,44.784803
178,"2014-11",278.9181,89.30581
179,"2014-12",270.77216,122.3647
180,"2015-01",276.61896,378.61825
181,"2015-02",278.24228,77.857076
182,"2015-03",280.15082,71.99714
183,"2015-04",281.33347,25.95727
184,"2015-05",285.3265,24.382205
185,"2015-06",289.90222,28.081045
186,"2015-07",290.90463,74.930525
187,"2015-08",293.46048,14.759489
188,"2015-09",284.9593,21.647016
189,"2015-10",281.85153,173.43328
190,"2015-11",279.91483,195.3222
191,"2015-12",273.91943,23.534003
192,"2016-01",279.70404,175.78069
193,"2016-02",278.95218,220.71319
194,"2016-03",282.25397,25.979141
195,"2016-04",281.40704,28.110722
196,"2016-05",289.312,40.321807
197,"2016-06",290.9163,8.383213
198,"2016-07",292.77914,16.442611
199,"2016-08",289.98062,20.70645
200,"2016-09",288.38593,20.215562
201,"2016-10",281.72693,30.151534
202,"2016-11",274.68677,55.753982
203,"2016-12",273.5117,7.136428
204,"2017-01",274.30887,75.066615
205,"2017-02",281.01505,50.95601
206,"2017-03",282.86295,42.928277
207,"2017-04",279.98895,5.7548987
208,"2017-05",289.7002,20.19782
209,"2017-06",291.7023,257.0579
210,"2017-07",293.5768,3.1060868
211,"2017-08",291.72372,67.2942
212,"2017-09",285.32278,44.412514
213,"2017-10",280.18582,21.226533
214,"2017-11",278.41406,339.84432
215,"2017-12",277.74374,141.93154
216,"2018-01",277.14987,6.6545576
217,"2018-02",267.02,86.806314
218,"2018-03",281.12247,126.0626
219,"2018-04",287.64774,36.65505
220,"2018-05",290.44983,3.4510954
221,"2018-06",290.27393,44.995406
222,"2018-07",294.91602,8.435908
223,"2018-08",290.99976,108.38985
224,"2018-09",283.8621,38.517297
225,"2018-10",284.43503,33.889144
226,"2018-11",275.1656,26.41268
227,"2018-12",278.14175,117.12278
228,"2019-01",274.9537,130.55986
229,"2019-02",278.6936,0.5505906
230,"2019-03",280.31265,0.033704318
231,"2019-04",282.08667,132.3045
232,"2019-05",285.93875,28.712037
233,"2019-06",291.81976,0.28120255
234,"2019-07",293.02753,108.511544
235,"2019-08",293.05295,5.3951903
236,"2019-09",289.66443,172.46968
237,"2019-10",280.49176,100.602316
238,"2019-11",280.02277,119.56036
239,"2019-12",276.44037,31.01242
240,"2020-01",279.0503,167.25034
241,"2020-02",276.84714,63.07365
242,"2020-03",276.23853,40.851504
243,"2020-04",283.71082,52.615727
244,"2020-05",284.9086,141.32999
245,"2020-06",290.9706,130.8587
246,"2020-07",292.38254,3.3163128
247,"2020-08",291.88443,172.04153
248,"2020-09",286.4039,43.300985
249,"2020-10",284.3218,107.32164
250,"2020-11",277.3779,57.337085
251,"2020-12",278.07318,197.47727
